x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
-0.32193613,1.1408921,-0.27308047,-0.14590174,0.98898625,-0.6524618,0.62838286,-0.28415233,-0.15387323,0.02920722,0.59351635,-0.59808445,0.28176498,-0.48375183,-0.34810367,0.43229476
-0.7202499,1.9944128,-0.770724,-0.31291407,1.7004032,-1.3048441,0.90327895,-0.4517576,-0.15745054,0.17361236,1.1854231,-1.320995,0.56106246,-1.1618199,-0.9097503,0.72302324
-1.0379204,2.2523656,-1.207025,-0.2933555,1.9073423,-1.4888037,0.7462612,-0.25808007,-0.12013185,0.37866312,1.3882618,-1.885748,0.61505896,-1.6390831,-1.1918136,0.8140782
-1.1605531,2.176165,-1.4266565,-0.21908475,1.9371938,-1.3709437,0.42131117,0.053581446,-0.15626223,0.5963308,1.1749711,-2.3075075,0.6474815,-1.8174326,-1.4262462,0.5840003
-1.0671669,1.9060112,-1.3208643,-0.41849506,1.8882691,-1.0687506,0.18089005,0.2347976,-0.40858516,0.66579103,0.75122833,-2.4412727,0.6237575,-1.6576997,-1.3888791,0.3155882
-0.9487397,2.0072682,-1.0419165,-0.5415182,2.0488863,-0.74219835,0.2191836,0.2668606,-0.62709725,0.6328895,0.32051224,-2.4436398,0.6187835,-1.4441122,-1.0976032,0.21660747
-0.926972,2.113119,-0.8597966,-0.5968303,2.2864957,-0.57904637,0.31754184,0.16146964,-0.80310893,0.5528019,0.17571683,-2.480713,0.59899694,-1.339313,-1.0270946,0.31657714
-0.9427767,2.1713338,-0.8030381,-0.6197616,2.4960918,-0.52514964,0.35474035,0.08594852,-0.93980443,0.53338,0.109350584,-2.4999998,0.5659652,-1.3475016,-1.0803906,0.445014
-0.9409235,2.1961884,-0.7811017,-0.609919,2.6237557,-0.4420008,0.38350493,0.06717475,-1.0414972,0.5465452,0.027965166,-2.5502791,0.52839166,-1.3267827,-1.1268578,0.5044243
-0.92394185,2.2284458,-0.75723016,-0.6089601,2.7087748,-0.3507609,0.40380612,0.043298814,-1.136156,0.57044446,-0.05191871,-2.5955908,0.5015942,-1.2808418,-1.1423547,0.5258509
-0.90403324,2.2711558,-0.73916686,-0.6187353,2.780806,-0.27923095,0.42237186,0.0035645925,-1.2307281,0.60490435,-0.116311416,-2.6291885,0.48320842,-1.2372409,-1.1518854,0.5353409
-0.88533294,2.3185987,-0.72966903,-0.6314296,2.8456466,-0.22470377,0.44034103,-0.042351354,-1.3199909,0.6472299,-0.16587819,-2.6598992,0.46843588,-1.2024598,-1.1651196,0.541359
-0.866977,2.3656006,-0.72649986,-0.64268404,2.901914,-0.17952034,0.45548576,-0.08807735,-1.4008667,0.6943222,-0.20632188,-2.6925352,0.4548178,-1.1737623,-1.1816314,0.54453313
-0.8468824,2.410509,-0.72538936,-0.65243685,2.9496906,-0.13841832,0.46677628,-0.13253227,-1.4735745,0.74288297,-0.24216308,-2.7268462,0.44174892,-1.1477078,-1.1984392,0.5443811
-0.8238989,2.4533756,-0.7236112,-0.6619158,2.9910102,-0.099273644,0.4748445,-0.17657991,-1.5395913,0.79049855,-0.2753992,-2.7610893,0.42912498,-1.1230364,-1.2142062,0.5413946
-0.7979276,2.4943957,-0.7204586,-0.67165405,3.0280194,-0.061579306,0.4808473,-0.22089507,-1.6001577,0.83598346,-0.30650806,-2.794288,0.41674572,-1.1000202,-1.2290958,0.536614
-0.7692489,2.5335584,-0.7160615,-0.68151706,3.0620165,-0.025084846,0.48562056,-0.26564854,-1.6560137,0.8788748,-0.33546337,-2.826249,0.40434083,-1.0790976,-1.2435644,0.5309216
-0.7381498,2.5707932,-0.7106444,-0.6912317,3.0935774,0.010542955,0.48958263,-0.31081402,-1.7076532,0.91899014,-0.36213428,-2.8570175,0.3916982,-1.0603833,-1.2578974,0.52485377
-0.70488185,2.6061215,-0.70436704,-0.7006336,3.1229503,0.045617558,0.49292964,-0.3563686,-1.7554957,0.95624715,-0.38632628,-2.8866103,0.37870303,-1.0437742,-1.2722436,0.5187159
-0.66970533,2.6396666,-0.6973732,-0.70965534,3.1502786,0.080347024,0.4957665,-0.4022915,-1.7999052,0.9906351,-0.4077623,-2.9150002,0.36531067,-1.0291297,-1.2867424,0.51269615
-0.6329065,2.671601,-0.68982184,-0.71825844,3.1756608,0.11484986,0.4981438,-0.44850397,-1.8411705,1.0222149,-0.42610654,-2.9421532,0.35150933,-1.0163369,-1.3015711,0.50690985
-0.59478724,2.7021048,-0.68187493,-0.7264003,3.199161,0.14919744,0.5000629,-0.49484047,-1.8795079,1.0511065,-0.44101053,-2.9680414,0.33729643,-1.0052992,-1.316934,0.50141144
