T,ZXY_YX,XYZ_ZY
0.001,-0.001109033566383269,-4.3683530080162556e-7
0.003,-0.0024834221640827703,-1.3104938773887798e-6
0.005,-0.00519560793454585,-2.1841168655168397e-6
0.01,-0.014331388341845086,-4.3678624654367e-6
0.02,-0.03498301484731288,-8.732755639593542e-6
0.03,-0.05251998831778162,-1.3091714470680725e-5
0.04,-0.06466351740389804,-1.744178238681713e-5
0.05,-0.07177544304587902,-2.178001550612919e-5
0.06,-0.07507599598490801,-2.610348683651899e-5
0.08,-0.0748891659816812,-3.469454551183074e-5
0.1,-0.07064017047877234,-4.3192037207844826e-5
