mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green
0.005,-2.8400367994840803e-11,-1.1194786495927553e-15,-8.443938043488928e-16,1.1228721911429786e-15,5.295719229522963e-16,-5.0369188921294456e-17,-5.255561610906234e-15
0.01,3.0904164644018906e-11,-1.2567628479341435e-15,5.237973818789446e-15,-5.807044434072775e-15,4.846154218021058e-16,-2.664706624453517e-16,4.683736037902619e-13
0.015,-8.546478802440305e-11,-1.7965450226651095e-15,-3.9153183191247e-15,5.1809549489120754e-15,9.6056903174603e-16,2.7060500379112035e-16,4.827235887492481e-13
0.02,-1.152901125262007e-12,-1.6374756233025409e-16,-1.7350487366285527e-15,3.3879285011098603e-15,1.3805578249061028e-16,1.0375672647969816e-15,3.0981711337044193e-13
0.025,-5.722913462569146e-13,-8.135624403435467e-16,6.212817261520842e-16,9.563984532719866e-16,3.4980279611763424e-16,7.686331658432184e-16,1.9449210037630893e-13
0.03,-5.381615292288089e-13,-1.24433375116393e-15,1.0615220182898233e-15,3.7137990165775348e-16,4.2778721374720635e-16,4.980899888398027e-16,1.3120792429974215e-13
0.04,-3.7690510434895685e-13,-1.5498060191958263e-15,7.671035302195955e-16,1.243444366569313e-16,4.2526474963028305e-16,2.4882568236973395e-16,7.422979331900281e-14
0.05,-2.7933298035742737e-13,-1.5490572420704535e-15,4.662323451571845e-16,7.413571167548538e-17,3.6765719185457083e-16,1.2674975876422729e-16,7.502429667100019e-14
0.06,-2.282367003725305e-13,-1.3826965830979199e-15,2.63742342852466e-16,5.77117428282245e-17,3.2624998622804435e-16,7.422041827893326e-17,6.362369398688061e-14
0.08,-1.417303774342571e-13,-1.0549388782237629e-15,1.1777993131571046e-16,2.900579624577626e-17,2.540802380231362e-16,2.903075063049576e-17,2.995498814273301e-14
0.1,-8.29557776638179e-14,-8.223233021169979e-16,6.148950977297868e-17,1.0033952293174442e-17,2.0647529232155001e-16,1.401876089088942e-17,2.6142282782970483e-15
