mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green,Green_sea
0.002,0.04021053748979533,-1.2046297346802605e-16,1.1642702059449953e-15,-3.331845055473106e-15,0.04021053748979517,-0.0025654460139226875,-0.039827129028949776,0.0
0.004,0.04017535256434378,2.46384857503382e-16,-6.171505568112728e-17,-2.2271419127171336e-16,0.04017535256434345,5.2224740031515e-5,-0.039840752105576714,0.0
0.006,0.04024651515273998,5.32058274222087e-16,1.7188164040624393e-14,-6.576535561048601e-15,0.04024651515273929,-0.007672961317493141,-0.039863563803277144,0.0
0.008,0.040109630292918155,-1.6222941139116146e-15,3.7016632054417674e-16,1.6302849194821073e-15,0.040109630292917975,-0.00019892763317176185,-0.0398957295849863,0.0
0.01,0.04014038699366598,1.3639509387537089e-15,-1.9032171404218654e-15,4.850849459466239e-16,0.04014038699366624,-0.00020233710014193028,-0.039937493102889146,0.0
0.015,0.0402859253148499,-2.2071107764292404e-16,-4.793412462517544e-16,1.5132210101883267e-16,0.040285925314849806,-0.00019893019941771118,-0.04008639024717142,0.0
0.02,0.04049979053119097,-2.071560447603244e-15,-1.4051457090572374e-15,6.574041079322339e-17,0.040499790531192736,-0.0001931441919206905,-0.04030607329227402,0.0
0.03,0.041165001275801166,2.508572776588336e-17,9.053088140253962e-18,-7.243656358329326e-17,0.04116500127580107,-0.00017839888214840036,-0.04098551197108179,0.0
0.04,0.04214176028563663,-5.222601864862675e-16,-2.2605615296322767e-16,1.6149191359171589e-16,0.042141760285636744,-0.00017375768059173433,-0.04196776466004565,0.0
0.05,0.04335564696629575,-5.893723009631202e-16,9.874913386997974e-16,1.8648277366750676e-16,0.04335564696629493,-0.0001851069523245096,-0.04317095440220409,0.0
0.06,0.044720541755476934,2.001003529539247e-15,-5.447031714567174e-16,-1.218643241873707e-16,0.044720541755477204,-0.00020451730695876177,-0.044516619275018376,0.0
0.07,0.046158087278081086,-3.7816971776294395e-16,-2.949029909160572e-16,-4.3368086899420177e-16,0.04615808727808151,-0.00022120794330592747,-0.04593755136210875,0.0
0.08,0.04759502702182006,2.0816681711721685e-16,9.367506770274758e-16,-1.8344700758454735e-16,0.04759502702182102,-0.0002281968462088807,-0.04736745841767487,0.0
0.09,0.04896522525712807,-2.7755575615628914e-17,-8.465450562766819e-16,3.642919299551295e-17,0.04896522525712804,-0.00022325933771648494,-0.04874245984774994,0.0
0.1,0.050214519013948716,4.926614671774132e-16,7.771561172376096e-16,-1.3530843112619095e-16,0.05021451901394817,-0.00020747928174020148,-0.050007353446861025,0.0
0.12,0.052209966815359526,-4.85722573273506e-16,-4.510281037539698e-16,3.452099717193846e-16,0.05220996681535947,-0.00015458305463564304,-0.05205536372055519,0.0
0.14,0.0534440124821536,4.510281037539698e-16,2.706168622523819e-16,1.1449174941446927e-16,0.05344401248215346,-9.216272077681303e-5,-0.053351628397035,0.0
0.16,0.05395145779564805,-2.7755575615628914e-17,-1.8735013540549517e-16,-1.8561541192951836e-16,0.05395145779564844,-3.5492881392438017e-5,-0.0539156735754176,0.0
