mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green
-1.5,-4.874659703668627e-14,5.829525323767615e-16,-4.950607938796294e-16,-2.907318830464218e-16,0.01872701058564299,1.4213261298195823e-5,-0.018730433398560786
-1.45,4.1573081782653176e-14,-8.701963337463901e-16,-6.677265543532872e-16,-2.8576562299755144e-17,0.01830813661955859,1.1858286065017906e-5,-0.018309590759543935
-1.4,3.2531269344993063e-14,-1.4065863003422802e-15,-4.533972549074401e-16,2.364174834905159e-16,0.017938518543812544,9.888654474076756e-6,-0.01793833470767502
-1.35,1.7101424443222157e-13,-1.9344750207630525e-15,2.7252861561433486e-16,8.470913925276609e-16,0.01761407810708775,8.23502181580781e-6,-0.017612525545563258
-1.3,8.991765665378182e-14,-1.3585375093763327e-15,-8.738669510233166e-17,4.2555528193119127e-16,0.017331362831948822,6.842681086802965e-6,-0.01732866150364557
-1.25,-1.7862100687437987e-13,-3.555098923579969e-16,2.313992367945078e-16,2.269438434919502e-16,0.017087459208459475,5.669280644326751e-6,-0.01708378859726456
-1.2,-4.141131881851834e-14,8.345442934799829e-16,3.950629428629837e-16,2.6156377411212794e-17,0.016879920348689792,4.679139556628486e-6,-0.016875426254817694
-1.15,-8.021361352916756e-14,1.4873763028513953e-15,-1.679158114636925e-16,-3.9923034496347487e-16,0.016706710107333204,3.839845607162046e-6,-0.016701506375612185
-1.1,-4.6129766673175254e-14,9.31275456056424e-16,-1.795167747092874e-16,-6.361420721787137e-16,0.016566163534759926,3.1230321485862194e-6,-0.0165603246102084
-1.05,-1.3278267374516872e-13,5.871496865095249e-16,-3.154486220846575e-16,-2.876930464690286e-16,0.01645695862106445,2.498783745446169e-6,-0.016450522026710268
-1.0,-1.27675647831893e-14,7.741203511546502e-17,-1.3211003471735872e-16,-1.5888982837775067e-16,0.01637810498628981,1.9194681335485e-6,-0.016371075200750318
-0.95,-1.3988810110276972e-14,4.556901730956575e-16,2.255682619856092e-16,3.531788576871531e-17,0.016328970788644027,1.297058250922489e-6,-0.01632128754156137
-0.9,-1.908473379330644e-13,-5.622130365423583e-16,-2.799952110443815e-16,1.3056504662156687e-16,0.016309379140697147,4.5540624823346655e-7,-0.01630083089068679
-0.85,-8.215650382226158e-15,-3.6391245919475956e-16,5.747897817431902e-16,3.0287187688382566e-16,0.01631984444866531,-9.846082666208446e-7,-0.016309876000983436
-0.8,-1.1046719095020308e-14,-9.874371285911732e-17,4.689174395999807e-18,2.2303393940742433e-16,0.01636211878358782,-3.817861659017054e-6,-0.016349493194291964
-0.75,-2.84147705365001e-14,-1.241682538039024e-16,-5.419655609711915e-16,1.2766480581016815e-17,0.01644035041362356,-9.507233113398335e-6,-0.01642256378015433
-0.7,2.132044540914535e-13,-2.895632952165661e-16,-6.806417950956656e-16,-3.065039541616521e-16,0.01656303910887202,-1.9912834789340073e-5,-0.016535626216704014
-0.65,6.936812235736056e-14,-2.4549047690503034e-16,1.1485766764768313e-16,-3.923863187496601e-16,0.016744048948583636,-3.4698190714850974e-5,-0.01670125984881796
-0.6,-1.1258355359089478e-14,8.072020699426141e-16,3.42526571342483e-16,-1.5027719737006895e-16,0.016996051946834567,-4.649965702622459e-5,-0.016937531803993627
-0.55,1.2298495555285172e-13,1.8110513089197866e-15,7.382603642996921e-16,-2.2429432443293873e-17,0.01731813022023653,-4.3891538634341025e-5,-0.017259466862254214
-0.5,1.2106982083537332e-13,1.3877245706728214e-15,5.165139149720943e-16,-2.31043482956661e-16,0.017701331857042243,-2.3771492768530285e-5,-0.017666472545248613
-0.45,-4.629630012686903e-14,7.924433678696552e-16,6.550749526157418e-16,-1.588356182691264e-16,0.018141159631810753,4.579779556876216e-6,-0.018138745045231053
-0.4,-1.0169642905566434e-13,3.3393426912553537e-17,-3.480288973678469e-17,-2.054563116860031e-16,0.0186281072591651,2.7117804129233962e-5,-0.018647783039156485
-0.35,-7.149836278586008e-14,-1.22514845490862e-16,-2.673642557349254e-16,-5.887217796596289e-17,0.019143586841604603,3.78108043320589e-5,-0.019171969598052563
-0.3,-1.3322676295501878e-15,-1.8648277366750676e-17,-3.8402440949436567e-16,2.259477327459791e-16,0.01967443045922033,3.983969184406073e-5,-0.01970359288833512
-0.25,-3.241851231905457e-14,-4.597017211338539e-17,-1.5222198501696482e-16,2.959871930885427e-16,0.020218794507061908,3.800493968322409e-5,-0.0202455358367315
-0.2,-6.661338147750939e-14,-4.3281350725621337e-16,1.8214596497756474e-17,2.196593601455632e-16,0.020782025593242204,3.525343797405498e-5,-0.020805651320752183
-0.15,4.218847493575595e-14,-1.0456045751450205e-15,-4.2934406030425976e-16,2.936019483090746e-16,0.021372502266179337,3.288893211327677e-5,-0.021393398504330197
-0.1,8.659739592076221e-14,-2.7755575615628914e-17,-5.937091096530622e-16,5.963111948670274e-17,0.021999667173253707,3.1367488358847203e-5,-0.022018598600005657
-0.05,4.529709940470639e-14,-4.414871246360974e-16,-8.040443311152501e-16,5.0090140368830305e-17,0.022673419779523644,3.0799489023989896e-5,-0.022691220038457693
0.0,-8.570921750106208e-14,6.158268339717665e-17,-5.902396627011086e-16,1.9949319973733282e-17,0.023404127551225257,3.118521162468054e-5,-0.023421594596257922
0.05,-6.794564910705958e-14,-1.3877787807814457e-17,-2.697495005143935e-16,2.905661822261152e-16,0.024202901796404604,3.251082833095637e-5,-0.024220780107948592
0.1,-5.284661597215745e-14,-1.6306400674181987e-16,9.80118763926896e-17,1.3942839938163587e-16,0.025082008767883555,3.4781596053048936e-5,-0.025101002310698117
0.15,-1.6431300764452317e-14,-2.1684043449710089e-16,1.0842021724855044e-16,3.664603343001005e-17,0.026055397362703424,3.8027160802498426e-5,-0.02607619102838865
0.2,-7.105427357601002e-15,-6.158268339717665e-16,-3.0964814046186007e-16,1.1254018550399536e-16,0.027139390463973862,4.2290598667584856e-5,-0.027162637315616633
0.25,-5.88418203051333e-15,-1.205632815803881e-16,-2.6281060661048627e-16,-4.7704895589362195e-17,0.028353653423301577,4.7598392227743815e-5,-0.02837993016909035
0.3,8.881784197001252e-15,-1.6566609195578508e-16,-8.847089727481716e-17,1.0430024899310553e-16,0.02972266081645233,5.3895828245303706e-5,-0.029752434177489073
0.35,1.4654943925052066e-14,8.760353553682876e-17,-2.0816681711721685e-17,1.0495077029659683e-16,0.03127808534222736,6.092089775178232e-5,-0.0313119851461868
0.4,5.850875339774575e-14,-4.805184028455756e-16,-1.8474805019152996e-16,1.9884267843384151e-16,0.033062894483191566,6.800733013519254e-5,-0.033106494007490994
0.45,2.1502331165601518e-14,-8.951173136040325e-16,-2.5760643618255585e-16,3.2959746043559335e-17,0.03513835607997031,7.397780080136925e-5,-0.03520351504226693
0.5,-2.353672812205332e-14,2.42861286636753e-17,4.336808689942018e-17,-9.183192400952223e-17,0.03759447457011554,7.776144705238489e-5,-0.037669953893211705
0.55,-3.352873534367973e-14,1.5031378919339033e-15,6.192962809237201e-16,-2.7267684638010437e-16,0.04056049214001125,8.003207566228596e-5,-0.040638138964353754
0.6,1.199040866595169e-14,2.4576694845901415e-15,1.2095359436248287e-15,-4.0462425077159025e-16,0.04421124986340599,8.300260004777556e-5,-0.044293739512986985
0.65,5.329070518200751e-15,2.131975151975496e-15,1.1015494072452725e-15,-4.189357194483989e-16,0.048769406292478314,8.63945995699055e-5,-0.04885905440882432
0.7,1.7763568394002505e-14,4.891920202254596e-16,4.371503159461554e-16,-2.6281060661048627e-16,0.05447429121523279,8.78113736816474e-5,-0.05455887844947682
0.75,-4.3520742565306136e-14,-6.557254739192331e-16,-1.0581813203458523e-16,-1.0495077029659683e-16,0.06139627666090951,0.00010017405501219333,-0.061438537255309456
0.8,-2.930988785010413e-14,-1.0685896612017132e-15,-5.898059818321144e-16,1.1275702593849246e-16,0.06875653418637358,0.0001808461901200496,-0.06875033471865155
0.85,-3.1086244689504383e-15,-5.273559366969494e-16,-3.209238430557093e-16,6.461844948013606e-17,0.07339981726788049,0.0003845512829663317,-0.07368631322459507
0.9,1.7541523789077473e-14,-3.712308238590367e-16,3.729655473350135e-17,1.1492543028346347e-17,0.07000122985924724,0.0004756988767721051,-0.07100619749052095
0.95,1.3433698597964394e-14,-6.305719835175694e-16,-3.2395960913866872e-16,1.6263032587282567e-18,0.05719328229967453,3.385277053845077e-5,-0.0574641373733803
1.0,-2.7200464103316335e-15,-5.316927453868914e-16,-4.0137164425413374e-16,5.4752209710517974e-18,0.03883162035242984,-0.000562701996900575,-0.037790094157315934
1.05,4.0245584642661925e-15,-2.4947491988891457e-16,-2.1076890233118206e-16,-2.6264797628461345e-17,0.021519108824123244,-0.0006708093847741813,-0.020661687342260815
1.1,2.9559688030644793e-15,-9.654820345983417e-17,-2.0475158027388751e-16,-1.0760706561918632e-17,0.010359774848241857,-0.0004507447162543305,-0.009967781039046358
1.15,3.164135620181696e-15,-3.415236843329339e-17,-3.937009138837988e-17,-3.06083825819814e-17,0.004679062231619632,-0.00023692196768730221,-0.004497805512794377
1.2,3.469446951953614e-16,-3.068969774491781e-17,-5.5321415851072864e-17,-8.683781775251087e-18,0.0020635301036535715,-0.00011183587779013576,-0.001968017763949179
1.25,3.9898639947466563e-16,-2.596664203102783e-17,-1.947836965505989e-17,-5.083891749420311e-18,0.0009020801650214311,-5.037938772604978e-5,-0.0008471759074983294
