mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green
0.005,1.0231815394945443e-12,-2.0122792321330962e-15,-6.557254739192331e-16,5.967448757360216e-16,0.016649596017170122,-0.0002955863867465437,-0.01635499833275844
0.01,5.684341886080802e-14,-2.435551760271437e-15,-4.996003610813204e-16,3.0184188481996443e-16,0.03148721184428446,-0.0005081426201312936,-0.03098297903943603
0.015,9.237055564881302e-14,-1.9845236565174673e-15,-6.487865800153259e-16,5.204170427930421e-16,0.04317880158006465,-0.0005918688529561462,-0.0425955186391036
0.02,4.973799150320701e-14,-9.159339953157541e-16,-1.8041124150158794e-16,3.434752482434078e-16,0.05112167030825802,-0.000550078385109164,-0.05058642408355496
0.025,1.1368683772161603e-13,-5.273559366969494e-16,-6.453171330633722e-16,2.2898349882893854e-16,0.05540805113152208,-0.0004200139309769209,-0.05501050061965174
0.03,3.730349362740526e-14,-9.71445146547012e-16,-6.973588373426765e-16,1.717376241217039e-16,0.056598455012773816,-0.00024812332101382603,-0.056381629830910995
0.04,2.4868995751603507e-14,-4.40619762898109e-16,-1.0408340855860843e-16,-2.42861286636753e-17,0.05273853563288729,8.472239708135453e-5,-0.05287514612095201
0.05,2.1316282072803006e-14,-3.0184188481996443e-16,-3.608224830031759e-16,-9.367506770274758e-17,0.04500394986059051,0.0003110717290665064,-0.045390342437235276
0.06,1.9095836023552692e-14,-9.367506770274758e-17,-1.9949319973733282e-16,-9.833713704443525e-17,0.03674624336868887,0.00043135080209309425,-0.03727808134905164
0.08,1.021405182655144e-14,3.469446951953614e-18,-1.6479873021779667e-16,-5.724587470723463e-17,0.023391663573422757,0.0004872426747273152,-0.024031242088465632
0.1,7.993605777301127e-15,1.1362438767648086e-16,4.163336342344337e-17,-4.163336342344337e-17,0.014905694402958851,0.00043765263597822165,-0.015543576077803545
