mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green
0.005,-2.8421709430404007e-12,-2.1371793224034263e-15,2.42861286636753e-17,4.0592529337857286e-16,0.017402958748863828,-0.00017090578738333806,-0.017230848089184292
0.01,-1.4210854715202004e-14,-1.6028844918025698e-15,-2.706168622523819e-16,2.0122792321330962e-16,0.032865126867540506,-0.0002900619524437098,-0.03257304448533205
0.015,-7.105427357601002e-15,-1.0408340855860843e-15,-4.5102810375396984e-17,2.3245294578089215e-16,0.044974000943195994,-0.00033017653319703487,-0.04464121150603262
0.02,-9.947598300641403e-14,-6.106226635438361e-16,-2.8102520310824275e-16,-1.214306433183765e-17,0.0531168112481758,-0.0002955226829076088,-0.052818309841335065
0.025,-4.973799150320701e-14,-5.065392549852277e-16,-2.3592239273284576e-16,5.377642775528102e-17,0.057426782017336926,-0.00021102843533531927,-0.057212602266293544
0.03,-8.881784197001252e-15,-4.85722573273506e-16,-1.249000902703301e-16,-3.469446951953614e-18,0.058525087333038274,-0.00010578122744274747,-0.05841613703770854
0.04,2.7533531010703882e-14,-9.71445146547012e-17,-1.5785983631388945e-16,-7.979727989493313e-17,0.054340810002108914,8.840490293291706e-5,-0.054426323161500534
0.05,-4.440892098500626e-15,-1.5959455978986625e-16,-3.469446951953614e-18,-6.678685382510707e-17,0.04628294298986711,0.00021761978452238592,-0.04649817131329925
0.06,8.881784197001252e-16,-8.153200337090993e-17,-1.1102230246251565e-16,-7.147602822110688e-17,0.03777090697422537,0.0002925088477976007,-0.03806166000517219
0.08,6.661338147750939e-16,-1.0842021724855044e-16,-1.6393136847980827e-16,-7.112366251504909e-17,0.024077654697015873,0.0003638462244324094,-0.02444197877102927
0.1,1.5543122344752192e-15,-4.85722573273506e-17,-8.066464163292153e-17,-3.642919299551295e-17,0.015374772188111884,0.00039309149510449785,-0.01577398387326978
