mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green
0.005,-0.013984774233036292,0.01383089390560946,-3.5618751871580034e-16,0.0002001844343520634,-0.016012399983537713,0.0001166959404572318,0.0018648208906594703
0.01,-0.02664063469434807,0.0036011585842420403,7.369457691655534e-16,0.00017935911649258552,-0.030732075393543303,0.0004498548013889285,0.026500988501772366
0.015,-0.036964353501693324,-0.0003774427351554683,-8.695301423333746e-16,-0.00015902887227147865,-0.043010879032374376,0.0010005548417113194,0.04254565720925461
0.02,-0.044452308999801834,-0.002177418782118903,-1.857238321467669e-16,-0.000757589151797956,-0.052052052204781867,0.0015612627899014085,0.05342439457436312
0.025,-0.04908492701538833,-0.002795260158711872,3.1834886289605624e-17,-0.001468812578911338,-0.05758162223185943,0.00189354880094724,0.05995054431012471
0.03,-0.051187369489989976,-0.0027522618904092812,2.3564456592614635e-16,-0.002141837087982355,-0.05984921360804107,0.0018784187986458857,0.06286312603443321
0.04,-0.04984113831162888,-0.0019105395537960933,-7.859449310983202e-17,-0.0030303637919988874,-0.0571602414765948,0.0009969580026140943,0.06110217171165388
0.05,-0.044399374130450246,-0.0010317482434342533,-1.962998855261841e-16,-0.0032464382168090294,-0.0494964920670128,-0.00023394032540769848,0.05400653861774203
0.055,-0.04108383943205156,-0.0006999630777205544,-6.934785794113045e-17,-0.0031728138114476283,-0.04511985353469518,-0.000756269282754793,0.049751168618272355
0.06,-0.037610310817282576,-0.0004116174872657139,6.778395983479115e-16,-0.0030713401135302925,-0.04092328864323706,-0.0012299823337421157,0.04544290723468254
0.065,-0.03426724513531889,0.00011966739035850384,-4.741650204664579e-16,0.004562468904164977,-0.03769784959327568,0.0027130299058219483,0.04126456235295159
0.07,-0.03139943506152739,-0.00011440491296198394,1.2513789477027176e-16,0.0020670605177917196,-0.032991280671321926,0.0013228905631172273,0.03732506418328349
0.08,-0.025895423913531026,3.143667576658742e-5,-4.0941337505536607e-17,0.0012246090543513496,-0.026543736557118926,0.0010400035115161012,0.03035593647546894
0.09,-0.021268079276801743,8.480778373990978e-5,8.63920666640183e-17,0.0006903704196416834,-0.021393223978084464,0.0007083764549886681,0.02464597198936792
0.1,-0.017483367518172865,9.693729652221315e-5,-2.2414185850243296e-17,0.00036190125451040963,-0.01733905435582882,0.00042714513900805065,0.02006881669537606
