mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green,Green_sea
0.002,0.005366779040925566,6.489099291882698e-16,-2.4383516276785863e-16,3.5486318270276825e-16,0.005366779040927799,-7.151919487492034e-5,-0.005295139079268692,0.0
0.004,0.01062590627043899,6.484976359011937e-16,-1.9946736523244156e-16,6.008641028376377e-16,0.01062590627043807,-0.0001367518935274603,-0.010488923544518322,0.0
0.006,0.01568531162019801,5.467242979479846e-16,-1.8171590517442006e-15,-3.431523698718263e-16,0.01568531162019625,-0.0001907908807865787,-0.015494192373682455,0.0
0.008,0.02046173108370555,1.7042302898756523e-17,-7.302705142664791e-16,-1.1952227808821256e-16,0.02046173108370621,-0.00023048914841235717,-0.02023083127484098,0.0
0.01,0.024886551923719566,4.545064445518696e-16,1.5890631375648661e-15,8.798035931923852e-17,0.024886551923720253,-0.00025460738708197006,-0.024631468531918554,0.0
0.015,0.034112438444691966,-1.9591501493077543e-17,-4.0479132802043617e-16,6.100734420868805e-16,0.034112438444692104,-0.00025297542826565006,-0.033858895044615395,0.0
0.02,0.04049979053119097,-2.071560447603244e-15,-1.4051457090572374e-15,6.574041079322339e-17,0.040499790531192736,-0.0001931441919206905,-0.04030607329227402,0.0
0.03,0.04562631154628365,9.613944455007946e-16,-4.3470551416258346e-16,7.376738303796655e-17,0.04562631154628334,-4.0989856423216026e-5,-0.045584929988087414,0.0
0.04,0.04381098628223972,-4.570892266790603e-16,-1.2660226915228663e-15,2.4669790913645155e-16,0.043810986282240186,6.575443139861436e-5,-0.043876719132408766,0.0
0.05,0.03874929583411454,-8.311928024833794e-17,-2.554248300350085e-16,-8.536079908765251e-17,0.0387492958341147,0.00013082943753276675,-0.03888054433009636,0.0
0.055,0.035793866324892086,6.201659289889216e-16,-1.4246303983721772e-15,-1.3707611940393922e-17,0.03579386632489164,0.0001537851499483292,-0.035946719748128575,0.0
0.06,0.033215819797486855,-1.110513345167828e-15,-2.5021965540981444e-15,-3.4464601776212913e-16,0.033215819797486376,-2.5572877894320507e-5,-0.032980121692975144,0.0
0.065,0.031013124094203363,-1.0898387797027878e-15,2.2788674650676325e-15,1.7195215961742412e-16,0.031013124094202475,0.0006273931529787268,-0.030095171002447026,0.0
0.07,0.027283489335470132,-7.377889275988185e-16,2.4753697468004574e-17,1.0411927924587179e-16,0.027283489335469605,-0.00015971335986704845,-0.027361871822886755,0.0
0.075,0.024785830688281024,-3.2541098520453794e-16,5.511123388963457e-16,2.130655866727284e-16,0.024785830688280757,-0.00014301688728415553,-0.024818599936945053,0.0
0.08,0.022482494722095896,-9.559570167575691e-17,5.293341159708128e-17,3.8482677137981966e-17,0.022482494722095712,-0.0001256899250575136,-0.02248206221951695,0.0
0.09,0.018468516464259614,2.2206037843213208e-17,9.115269623005288e-17,2.719919573765227e-17,0.01846851646425996,-9.195036634020326e-5,-0.018430045955705042,0.0
0.1,0.015192438628321628,7.312137648625856e-18,-3.821392615696349e-17,6.6296590493491794e-18,0.015192438628321668,-6.116396848174789e-5,-0.015139248647018391,0.0
