mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green,Green_sea
0.005,28.45636422003348,-8.218465410535856,-4.3227813539219095,1.7030632643790415,-0.05778035606158177,0.94134278891068,-21.72632150748511,41080.80214907283
0.01,8.053527381752708,-3.2270729813498296,-2.4008121739420356,-0.24685129589735316,-0.29303666051726834,0.3833294067287717,-4.668364323256563,142.6014064648957
0.015,3.8775886834738857,-1.471516306548916,-1.4487130407114006,-0.5517683024243429,-0.12018625547183569,0.033956913382272726,-1.816398017076663,0.4284899732129719
0.02,2.297567738810722,-0.7774792406598665,-0.9511296224505412,-0.5150854718633983,-0.027085143469370188,-0.08103610293425,-0.9331555662343878,0.0015683198466029669
0.025,1.5242335841873753,-0.45565226858277574,-0.666501105404762,-0.43141008114035706,0.009693173913972132,-0.10681397977982382,-0.5642688093588875,0.00027133499579196085
0.03,1.086355633711261,-0.2851327092948002,-0.4901519261671271,-0.3565974154574817,0.023062709181847437,-0.10497448140634368,-0.37872885180290705,0.0002604984208663397
0.04,0.6320607693533378,-0.12398480719992024,-0.29298367966331995,-0.2500909112287275,0.029093214794329178,-0.08700227743186842,-0.2070034661461393,0.0002455163441519581
0.05,0.4137346273881129,-0.05759575972232564,-0.19162412174700375,-0.18229994194174964,0.028293007217646958,-0.07099966805043464,-0.13240097372261103,0.0002296810061697685
0.055,0.6439466660436259,-0.04012583493989709,-0.15897520549126526,-0.1576197613210494,0.02678445505453615,-0.06442704017855169,-0.10999151404794297,0.00022157951721724078
0.06,20.334229756745078,-0.09922190095604905,-0.20681226387121926,-0.20086522922973754,-0.02200053235080896,-0.08411894130991106,-0.0930908018623775,0.00021342199422622055
0.065,-55.77027891546127,-0.13173303704330072,0.2581533371576529,0.23534714994037828,-0.049887674854620895,0.09499332752763541,-0.07998411857092722,0.00020525307170821128
0.07,-0.5068605706451951,-0.014087458456366083,0.07747312731031329,0.08349002911385421,0.02132353524465447,0.03804917514678391,-0.06957868580331941,0.00019711316155776593
0.08,-0.06482821777636219,-0.006919553887975518,0.04195545394206779,0.04671535537165639,0.01784550557383391,0.022330391812977517,-0.0542143320695099,0.00018106139227602736
0.09,-0.03095273612299715,-0.003316571493389382,0.022687764760475078,0.025830738848881752,0.01461117668351048,0.012794332469481279,-0.043518932573985675,0.0001655094752802122
0.1,-0.011962868852163773,-0.0013607927846454515,0.011723995918372261,0.013544613361262715,0.011876628995844633,0.006884731103296584,-0.03572304257629701,0.00015064170259387888
