mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green,Green_M
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20088472893103718
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30556354527821217
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36531805463060085
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40956841128269356
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4571162147324944
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5231498050148835
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625233849368902
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7915423515928921
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0762374169559834
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5673012598784994
0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2418659095355724
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.55147821135668
0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.1535542745274
0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8071196445133286
0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44697023760471505
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18766523047955846
0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08133070653589977
0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03818880833470792
0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019691520938396462
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011484343283259271
0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007794734054931682
0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006141108104814955
0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005404834222895297
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00506392516533806
