mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green,Green_sea
0.0025,97.20362324,-24.41903777,-9.728882593,-2.641719889,-2.159998046,1.770479508,-62.8973997,0
0.005,26.59170036,-6.53603375,-3.91714687,-3.876673171,-0.805570202,-0.488289028,-13.51573968,0
0.0075,12.39848091,-2.548184999,-2.066270582,-2.782455419,-0.224423957,-0.781641531,-5.478934171,0
0.01,7.187982768,-1.265743984,-1.265812182,-1.937043036,-0.018651918,-0.703026617,-2.933860711,0
0.015,3.327839284,-0.50614952,-0.617787929,-1.026274359,0.072591073,-0.456223526,-1.264017249,0
0.02,1.933791086,-0.288411783,-0.370875319,-0.62505845,0.065697107,-0.290686245,-0.714180689,0
0.025,1.275643194,-0.187529736,-0.251122505,-0.429257268,0.04844545,-0.19434663,-0.463018696,0
0.03,0.912240333,-0.126291653,-0.183403257,-0.323003243,0.035901049,-0.13944636,-0.325936607,0
0.035,0.689768387,-0.085070045,-0.140941085,-0.258830727,0.028781229,-0.107959003,-0.242603242,0
0.04,0.543228613,-0.056592457,-0.112334854,-0.215947012,0.025169335,-0.089284609,-0.188159208,0
0.045,0.441228246,-0.036934296,-0.092028048,-0.184737834,0.023316048,-0.077430353,-0.150658513,0
0.05,0.367037649,-0.023474685,-0.077005888,-0.160501655,0.022129828,-0.069120941,-0.123728146,0
0.055,0.315438874,-0.014350299,-0.065501956,-0.14080647,0.021059671,-0.062643468,-0.103710381,0
0.0575,0.271955346,-0.005502548,-0.061673996,-0.067092049,0.020477253,-0.060830833,-0.095564823,0
0.06,-6.925469974,-0.006886746,-0.12323901,-0.255549323,0.020511247,-0.123260022,-0.088390297,0
0.065,1.656935944,-0.002039557,0.207669298,0.418827434,0.019652384,0.208015783,-0.076369471,0
0.0675,-0.261195185,-0.00155569,0.039373557,0.044534013,0.017841178,0.042767066,-0.071297467,0
0.07,-0.103857756,-0.002064208,0.03143901,0.072256779,0.017151045,0.034965963,-0.066733949,0
0.075,-0.064418019,-0.00052872,0.022202852,0.05202465,0.015749476,0.025747885,-0.058868197,0
0.08,-0.042393322,0.000469708,0.015711935,0.037467205,0.014372898,0.018937475,-0.052346309,0
