mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green,Green_M
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.656893504636665e-6
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.090757263522035e-6
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2261898218502218e-5
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9008098875470682e-5
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5120680718845986e-5
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9368217474224387e-5
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0655943557794706e-5
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8663544050252718e-5
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5427954535185877e-5
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.497670934344771e-5
0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7395068855714227e-5
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004836825418517233
0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027904066652859758
0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027877272334234236
0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024261866757270063
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021057658251328933
0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01824118766018623
0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015785867892012424
0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01366025474492998
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011829458828599964
0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010257748130672829
0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008910816643503204
0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007757165465142196
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006768726829997343
