mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green,Green_sea
0.0025,97.00498479984417,-24.418846141307007,-9.708284475782447,-2.6014185702755053,-2.1592642300371034,1.7908466266986256,0.0,0.0
0.005,26.541871103517035,-6.535151293664993,-3.911823764311883,-3.866869416619288,-0.8056205114671313,-0.48320950951570146,0.0,0.0
0.0075,12.376194666273076,-2.547344849493849,-2.063785613981814,-2.7782492079256818,-0.2245040439808386,-0.7794132824727913,0.0,0.0
0.01,7.175345664483304,-1.2649961840669564,-1.2643304060149392,-1.9347485337683246,-0.018701736105073512,-0.7018103923759013,0.0,0.0
0.015,3.3221189337656925,-0.5056078106444366,-0.6170448037159626,-1.0252593698924986,0.07261105489750863,-0.45573760147355996,0.0,0.0
0.02,1.9305170506591784,-0.28804816317850956,-0.37041208297667366,-0.6244366736813427,0.06574994274771437,-0.2904395826071511,0.0,0.0
0.025,1.2735205779761645,-0.18729618555586572,-0.2508032567059388,-0.42880484248343365,0.04849831156557255,-0.1941906360645051,0.0,0.0
0.03,0.9107578000112516,-0.12614510933786582,-0.18317165194873064,-0.32264934899086406,0.03593925877071398,-0.13932872235443527,0.0,0.0
0.035,0.6886839100262702,-0.08497920839132303,-0.1407687848067754,-0.25854840045041466,0.02880243048679464,-0.10786220438521683,0.0,0.0
0.04,0.5424132046857925,-0.05653661276785432,-0.1122058657152426,-0.21572336977710987,0.025176374871631983,-0.0892037215247259,0.0,0.0
0.045,0.4406066796995549,-0.03690028327686802,-0.09193253895825948,-0.18456491112740556,0.02331296090998906,-0.07736441446832994,0.0,0.0
0.05,0.3665435140560563,-0.0234542434714712,-0.07693715534013168,-0.1603730140058724,0.02212025599563908,-0.06906962565336397,0.0,0.0
0.055,0.31059665895010447,-0.014333084415745576,-0.06544314296386071,-0.14068693057769757,0.021049132650783103,-0.06258836234612794,0.0,0.0
0.06,0.7125390765589331,-0.008629314843252408,-0.05580656772437588,-0.12313823045753279,0.01961482291579792,-0.056582008651381174,0.0,0.0
0.065,-3.6232892024630194,-0.006998470747408721,0.04069821981287327,0.09297931830364217,0.016838071748689516,0.043828008303856414,0.0,0.0
0.07,-0.09550035368449117,-0.002056583396430205,0.03139707472973763,0.0721681077612084,0.017139326226741646,0.03491875933081091,0.0,0.0
0.075,-0.06415775120304651,-0.000526301199405038,0.02218250881216262,0.05198374115144454,0.015735784440255404,0.02572748739702845,0.0,0.0
0.08,-0.04219416648088303,0.00047182518218188925,0.015694663336107594,0.037432606369012494,0.014360478989216153,0.01892000846540148,0.0,0.0
