mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green,Green_sea
0.002,190.23089984698345,-14.229892421067085,-6.1321223438205985,4.80421752692523,1.3737547090545237,0.6243416145091424,-173.9081634519576,0.0
0.004,49.843592105140615,-9.959699544690396,-4.877395407910353,2.553013151918167,0.24795208653461243,0.950845502752226,-41.918745786295894,0.0
0.006,23.34454296605699,-6.772411589234348,-3.829148920769155,1.0474627642871597,-0.22953671929524253,0.8618832689408757,-17.769160061643653,0.0
0.008,13.789160841795935,-4.6283010895433305,-3.0153793472738863,0.19418483311500057,-0.33247602040568397,0.6192731696614988,-9.471131106103499,0.0
0.01,9.214220181786178,-3.2289277611115588,-2.4017360858982766,-0.24597956100116505,-0.29280589333815327,0.3835288265822797,-5.739999928848299,0.0
0.015,4.4697311312746635,-1.4728011907939786,-1.4495368155482071,-0.5512900915432364,-0.12013654924237252,0.03420301381619139,-2.2642976757422577,0.0
0.02,2.7062982749060938,-0.7781776577978907,-0.951792442860375,-0.5149331686960633,-0.027126524853626828,-0.08079833309400046,-1.1694501396846193,0.0
0.025,1.8682386626769,-0.4558094100853579,-0.6669785589025959,-0.4314943160629607,0.009666167482816039,-0.10664305427994861,-0.7083475573254833,0.0
0.03,1.4213237465346555,-0.28480392372407093,-0.4904230941693142,-0.3568263158167163,0.02313495555162918,-0.10490267272177768,-0.4764024697343591,0.0
0.04,1.0593485427780984,-0.12278444904954647,-0.29268776476360125,-0.25035948702992267,0.029536389374538598,-0.08714546907940188,-0.2627642391896998,0.0
0.05,1.0793243860584414,-0.055721565559264816,-0.18997334072840083,-0.1821076782063705,0.029237003046954466,-0.07133955476524569,-0.1699350334094941,0.0
0.06,-28.193447353784013,-0.010371824562337283,0.07687188126984125,0.06563678110501346,0.05239494822699024,0.052117659672824335,-0.12028164756743887,0.0
0.065,129.90278461926957,-0.027190361584216286,-0.241012633232384,-0.23091895381452593,0.04828020933533146,-0.14491370700621933,-0.10343675197337973,0.0
0.07,0.35453790531141127,-0.013046489769814892,0.07371800557652917,0.08080194287954987,0.0222020865754435,0.03704743486245656,-0.08991052220641929,0.0
0.075,-0.3419935280823577,-0.009219812883858546,0.056125494091210294,0.06201060904312313,0.02010579414511074,0.02913189447595127,-0.07884230502944978,0.0
0.08,-0.1877380085600916,-0.006598824329996402,0.041696360077249583,0.04660520603001225,0.01813840250231906,0.022333189071651015,-0.0696458056663497,0.0
