mu,Drude,BCD,ChS,gBC,Green
-0.2,-4.164122019533136e-17,-0.387568153987479,-2.1214299633992723e-17,0.02002565867703975,0.0
-0.19,-7.510672301916486e-17,-0.3899696950520196,-1.721554420199141e-17,0.02248975241634113,0.0
-0.18,4.03631749015405e-17,-0.392823964546729,5.3636830803651416e-18,0.025424777222896853,0.0
-0.17,-4.733319298746879e-16,-0.39623452471452175,-1.3070890977756345e-18,0.0289388008674275,0.0
-0.16,-4.897906482371197e-16,-0.4003245130600235,6.1132321681755944e-18,0.0331592038456567,0.0
-0.15,3.378223770267768e-17,-0.4052330418510446,-1.206043071053589e-18,0.038227122949745264,0.0
-0.14,-1.3128216586416043e-16,-0.4111021162123082,3.517091882596304e-17,0.04427994965927349,0.0
-0.13,-5.3069690578473155e-17,-0.41804436813023743,-3.47650637751538e-18,0.051409750240466755,0.0
-0.12,-2.294929584508679e-16,-0.4260741937613983,2.3802829549577734e-17,0.059575774371793656,0.0
-0.11,-3.2295876539152533e-16,-0.43497285750165604,9.844542783391628e-19,0.06843425039131361,0.0
-0.1,2.5768880135218507e-16,-0.44404247442080996,-2.757831462513591e-18,0.07703027637647361,0.0
-0.09,-1.0505425802552916e-16,-0.451692750225767,-7.957157796058543e-18,0.08328916886543106,0.0
-0.08,-1.818584538787325e-16,-0.4548283926239137,1.1755853892546187e-17,0.08329935266704216,0.0
-0.07,-7.79944274487715e-18,-0.4481443787587934,3.595717208989573e-18,0.0706289739700168,0.0
-0.06,-3.5472763338188e-17,-0.42383855132180226,2.1084996449107438e-17,0.03659492148522556,0.0
-0.05,1.8764777859428912e-16,-0.37300489086157873,1.1095498022202284e-17,-0.026470362823482026,0.0
-0.04,6.470278532751582e-17,-0.2904944107660181,3.8918350457128144e-17,-0.11684738152541906,0.0
-0.03,3.487348597716596e-17,-0.18305975427114166,5.46701805132307e-18,-0.21365120608804514,0.0
-0.02,3.961092250310065e-18,-0.07404317027042485,-9.726203113691557e-18,-0.2823737970395319,0.0
-0.01,-9.87777006759905e-18,0.005534186720789691,-1.7482499294671656e-18,-0.30700454504368313,0.0
0.0,1.0089235626339415e-17,0.03416440619768096,2.3490848536478125e-18,-0.3088706134556494,0.0
0.01,1.4303311193528746e-17,0.005534186720789773,1.0992951843362512e-17,-0.307004545043683,0.0
0.02,-6.063614571603222e-18,-0.07404317027042481,3.1345531589374375e-17,-0.2823737970395319,0.0
0.03,9.015175974690833e-17,-0.18305975427114163,1.5262156987523237e-17,-0.21365120608804516,0.0
0.04,1.6283122956254386e-17,-0.2904944107660181,2.6207858421048154e-17,-0.1168473815254191,0.0
0.05,1.0739144312833368e-16,-0.37300489086157884,2.1787760053294418e-17,-0.026470362823482006,0.0
0.06,3.5784896196280235e-17,-0.42383855132180215,-1.566525540182984e-18,0.036594921485225515,0.0
0.07,-1.359434638138815e-16,-0.44814437875879326,2.996401939629012e-17,0.07062897397001683,0.0
0.08,1.2227496985011486e-16,-0.45482839262391367,2.1991968857794928e-17,0.08329935266704219,0.0
0.09,9.472447239935122e-17,-0.45169275022576666,-3.2515350767527894e-18,0.08328916886543108,0.0
0.1,-1.3384195002834236e-17,-0.44404247442081046,2.8415962793233016e-17,0.07703027637647361,0.0
0.11,-1.8625343391224916e-16,-0.43497285750165643,1.5859966682017577e-17,0.06843425039131365,0.0
0.12,-1.0930370462000321e-16,-0.4260741937613983,1.8700940220850615e-17,0.059575774371793656,0.0
0.13,-3.628055307798073e-17,-0.4180443681302372,2.359560269681966e-18,0.05140975024046677,0.0
0.14,-1.1233376133334363e-16,-0.4111021162123082,-4.892216065642502e-19,0.04427994965927349,0.0
0.15,-2.8409840358626666e-16,-0.4052330418510442,1.9900640081655118e-17,0.03822712294974527,0.0
0.16,-2.491752393088509e-16,-0.40032451306002376,8.6532490800013005e-19,0.033159203845656675,0.0
0.17,2.492609780926423e-16,-0.3962345247145213,3.530578844660237e-17,0.02893880086742751,0.0
0.18,-3.318806132644302e-16,-0.39282396454672913,7.43522101657917e-18,0.025424777222896877,0.0
0.19,2.0030014652287876e-16,-0.3899696950520196,-1.8417427842876678e-18,0.022489752416341144,0.0
0.2,-2.652643862201745e-16,-0.38756815398747907,2.1493673081385273e-17,0.020025658677039756,0.0
