mu,total,BCD,sQMD,dQMD,Inter,dInter
-0.4,-11.053235900827728,3.296344310622012,-3.8399877552231625,0.06085924723207711,0.0369676481531804,-0.014314685340703853
-0.38,-11.37532279986259,3.5689895933253455,-4.382537255379095,0.06881957982813601,0.04271990379821721,-0.016065754332421585
-0.36,-11.667731180407102,3.864051945247273,-4.955740188419255,0.07803833909336133,0.049575992285035245,-0.018047430580683768
-0.34,-11.904385859371564,4.183125454089927,-5.543359123470632,0.08877279192202212,0.05781468177189678,-0.020286290961081446
-0.32,-12.038902198391146,4.527975968247192,-6.111833720430852,0.10133772515773791,0.06780887766921018,-0.022803358910440687
-0.3,-11.988577923223058,4.900685452392498,-6.596309365256833,0.11610641035178393,0.08006503727314575,-0.02560306019196716
-0.28,-11.609682486906602,5.303943299536736,-6.879601146314533,0.13349465386844792,0.09528077068825709,-0.02865177992784244
-0.26,-10.670349318315473,5.741602820480265,-6.771395102229433,0.1539116261825146,0.11442853948845862,-0.031839350440535576
-0.24,-8.85708748791424,6.219646371641314,-6.024068072716622,0.17766067773243963,0.13887505629738517,-0.03491696296454868
-0.22,-5.904776829768618,6.7475068442282184,-4.470682054335192,0.20479008374182361,0.1705442269979172,-0.03741237558145303
-0.2,-1.8982130510911763,7.338799619003744,-2.3175778975240657,0.23489354702889065,0.21211874176461973,-0.038534996687882725
-0.18,2.567615702291954,8.009155130068313,-0.2657053220841867,0.26664981658622355,0.2672430983064733,-0.0370645361671242
-0.16,6.795399259409989,8.770068394202204,0.9311304000220261,0.29639793994583524,0.3406386814654548,-0.031174961407732727
-0.14,10.479590227179335,9.622045830937234,0.9452334398919059,0.3149726336310506,0.43794080001502256,-0.018290181266800067
-0.12,13.665270043408535,10.549988896802025,-0.19263579678379866,0.3027242041079098,0.5648391254036612,0.0045127036263463895
-0.1,16.483768465193688,11.519544380619772,-2.3433041174280516,0.22394951241675887,0.7248088063625329,0.03863787069875869
-0.08,19.04155641433609,12.474134569369179,-5.305519520081209,0.026160956262597287,0.914795606629994,0.07990731903594239
-0.06,21.427533052865197,13.337247771508654,-8.697557460514194,-0.34056592152138915,1.119638231538564,0.11420390213730762
-0.04,23.61974318188437,14.02505664933434,-11.91375391432533,-0.8624349205116506,1.3093778034669943,0.12189868679829226
-0.02,25.297595839845194,14.46641348226131,-14.257898956511239,-1.3771214644945016,1.4453980627579366,0.10131169455016838
0.0,25.93207946672176,14.618773046664645,-15.140241683702884,-1.6006950292186046,1.4949927364213964,0.08582584490692086
0.02,25.252221875013927,14.469411538348478,-14.313773099756203,-1.3770362147342154,1.4454080561675593,0.10129074893558386
0.04,23.541575593903065,14.030970777289836,-12.013668837767499,-0.8622867471044149,1.3093980009781605,0.12186223909714827
0.06,21.341545838248827,13.34581057489715,-8.8169858949989,-0.3403998360451109,1.1196685348793238,0.11416302570568808
0.08,18.97865056265468,12.484698567145857,-5.41252227315957,0.026287676594368026,0.9148346644067373,0.07987617121749713
0.1,16.46669957193064,11.53105239974948,-2.4123250385690507,0.22399278244181065,0.7248535536946589,0.03862735318555939
0.12,13.702188242713685,10.56126080127907,-0.21180392934053427,0.3026696239449112,0.5648854429307807,0.004526353054741864
0.14,10.571483104028935,9.632080817916373,0.9808251599563925,0.31483013216792494,0.43798443049663655,-0.01825486138231634
0.16,6.94155955551167,8.778179746087098,1.0249472627565308,0.2961942211346162,0.34067586243696807,-0.031124607517258606
0.18,2.7578245700289403,8.015048548885787,-0.11947614932454845,0.2664258904940008,0.2672713373891222,-0.037009288845336996
0.2,-1.69587528067204,7.342626143846651,-2.147542362318481,0.23469422744117063,0.21213769019637715,-0.038485899366702686
0.22,-5.732518080026452,6.749757676231434,-4.318888571463186,0.20464285388791317,0.17055562871804075,-0.037376177576312834
0.24,-8.736678609957767,6.2208841938285175,-5.915075800636358,0.1775665460745268,0.13888143897071928,-0.034893888196650846
0.26,-10.597108840499168,5.7422592380741815,-6.703901635355179,0.15385680941038585,0.11443199077493478,-0.03182598637428041
0.28,-11.568816186467787,5.304285532295679,-6.841300789378108,0.13346431586158305,0.09528262030169579,-0.028644461599043363
0.3,-11.96698287147045,4.900862559208666,-6.575588825169669,0.11608996303648375,0.08006603523596019,-0.025599173076089488
0.32,-12.02797129630083,4.528067342507097,-6.1009032094626425,0.10132878788623861,0.06780942519171135,-0.022801326956019552
0.34,-11.899136142614154,4.183172549670777,-5.537668426746578,0.08876781751490304,0.057814988706029316,-0.02028523716037303
0.36,-11.66544541859766,3.8640762172701835,-4.952797950144455,0.07803543401405152,0.04957616739192968,-0.018046885889911823
0.38,-11.37456254765631,3.5690021020730485,-4.38102230146074,0.06881775475303996,0.042720003322293976,-0.016065472861199182
0.4,-11.053251279345654,3.2963507482874563,-3.8392110064778913,0.06085799164781027,0.03696770129430881,-0.014314539473174447
