mu,total,BCD,sQMD,dQMD,Inter,dInter
-0.4,-199.6657883557385,-0.7802586749531225,-0.005640020355192685,0.008266874061632375,0.19421630260728642,-0.0013204323613824538
-0.38,-187.50623685037945,-0.8207274517355477,0.0020905272859105054,0.0010305320491427242,0.2041780732003925,-0.0015727645696267292
-0.36,-179.37187326427798,-0.8643341225729397,0.0023795034067714835,0.0012895584562891715,0.21565715995875934,-0.0018683022849712528
-0.34,-175.5015000948068,-0.9139166214654002,-0.007693483206563359,0.01194874136098832,0.22833344441630096,-0.002185474474390864
-0.32,-170.52380828938007,-0.9711054225554075,-0.010048507633165124,0.01512257658724169,0.2419436172787353,-0.0025444983872031815
-0.3,-162.27372123082884,-1.0345204870285016,4.1920153130851415e-5,0.006231710278838583,0.25700887446086573,-0.0030591693570627817
-0.28,-153.84411056973974,-1.1043922507823662,0.002515502998950228,0.00522111316816324,0.27462843474902154,-0.0038611638940947526
-0.26,-145.61021458635207,-1.1857457791301687,-0.009554022402462553,0.01899465581120078,0.2954222659848332,-0.004938513134798401
-0.24,-134.29334597200256,-1.283055243742941,-0.014848673811869495,0.026717196480830714,0.3193273360825438,-0.006178102394403772
-0.22,-119.53187776961173,-1.3954999466223383,-0.0024337372306663884,0.01806712735755714,0.3464180034013283,-0.007685888544221609
-0.2,-105.30171554697162,-1.5242398541337416,0.0027650334500816955,0.018066015153957306,0.3776464750780693,-0.010098476312823368
-0.18,-93.2771745552312,-1.6803391979529736,-0.015846729581962104,0.043571012340370106,0.41522369454156777,-0.01427146076697597
-0.16,-81.4867718539845,-1.8778249857992686,-0.031183562695908298,0.06959468166360025,0.46189751367559795,-0.02065627735332255
-0.14,-69.607647677521,-2.1216654283485132,-0.02301880481300188,0.07997813399170148,0.519948731965562,-0.029800268455982507
-0.12,-59.29699318818258,-2.4178235453556107,-0.026595392777452383,0.11467769908577283,0.5903466733182201,-0.04449851161513708
-0.1,-50.61044086205902,-2.79823366077098,-0.08289238983022375,0.22309429689599888,0.6728192080669024,-0.07333787720239872
-0.08,-41.89648647831988,-3.3107372235898818,-0.17749572262131005,0.4162118194219534,0.7666501534756862,-0.13546003188879838
-0.06,-32.22690651916193,-3.9408658048224265,-0.3176071164692152,0.7558435596571547,0.8494077209048487,-0.26402250826141993
-0.04,-21.886541660429568,-4.355137406298775,-0.7459941372300318,1.3957353151424312,0.7045880500197814,-0.39175643274351646
-0.02,-11.090955502469042,-2.4677349343453145,-1.7197671252628346,0.8291129122526981,-1.0858867305924165,0.9110184654334496
0.0,-5.703291798866946e-17,1.1637066567586676e-17,-3.516570902575608e-17,-4.8712287163179056e-17,-1.0582635275672076e-17,-1.4905531247017445e-17
0.02,11.090955502469047,2.467734934345314,1.7197671252628348,-0.8291129122526981,1.0858867305924165,-0.9110184654334493
0.04,21.886541660429575,4.355137406298775,0.7459941372300322,-1.3957353151424314,-0.7045880500197814,0.391756432743517
0.06,32.22690651916193,3.9408658048224265,0.3176071164692152,-0.7558435596571544,-0.8494077209048491,0.26402250826142015
0.08,41.896486478319886,3.31073722358988,0.17749572262130986,-0.4162118194219536,-0.7666501534756865,0.13546003188879832
0.1,50.61044086205903,2.79823366077098,0.08289238983022373,-0.22309429689599938,-0.6728192080669025,0.0733378772023988
0.12,59.29699318818258,2.4178235453556107,0.02659539277745245,-0.11467769908577291,-0.5903466733182207,0.044498511615137105
0.14,69.607647677521,2.121665428348514,0.023018804813001736,-0.07997813399170144,-0.519948731965562,0.029800268455982513
0.16,81.4867718539845,1.8778249857992686,0.031183562695908263,-0.0695946816636005,-0.4618975136755979,0.02065627735332258
0.18,93.27717455523118,1.6803391979529732,0.01584672958196206,-0.04357101234037022,-0.4152236945415677,0.014271460766975977
0.2,105.30171554697164,1.5242398541337414,-0.0027650334500815554,-0.018066015153957466,-0.3776464750780694,0.010098476312823373
0.22,119.53187776961173,1.3954999466223383,0.0024337372306665966,-0.018067127357557108,-0.3464180034013283,0.007685888544221616
0.24,134.2933459720026,1.2830552437429408,0.014848673811869533,-0.02671719648083068,-0.3193273360825439,0.006178102394403779
0.26,145.61021458635207,1.185745779130169,0.009554022402462559,-0.01899465581120082,-0.29542226598483323,0.004938513134798398
0.28,153.8441105697397,1.1043922507823665,-0.002515502998950253,-0.005221113168163202,-0.27462843474902154,0.003861163894094756
0.3,162.2737212308289,1.0345204870285012,-4.19201531307125e-5,-0.006231710278838658,-0.2570088744608657,0.0030591693570627826
0.32,170.52380828938,0.9711054225554073,0.010048507633165202,-0.015122576587241738,-0.24194361727873528,0.00254449838720318
0.34,175.50150009480663,0.9139166214654005,0.007693483206563416,-0.011948741360988413,-0.228333444416301,0.002185474474390863
0.36,179.3718732642779,0.8643341225729397,-0.0023795034067714445,-0.001289558456289192,-0.21565715995875942,0.0018683022849712515
0.38,187.50623685037934,0.8207274517355475,-0.002090527285910504,-0.001030532049142752,-0.20417807320039255,0.0015727645696267314
0.4,199.6657883557385,0.7802586749531224,0.005640020355192638,-0.008266874061632361,-0.19421630260728648,0.0013204323613824531
