mu,total,BCD,sQMD,dQMD,Inter,dInter
-0.4,-12.085194676067879,13.231948666644346,-12.858262321737444,0.06825084379276203,0.0513183674206848,-0.016436365820031922
-0.38,-12.085217560829538,13.220038546217264,-12.86255856852995,0.07599296776684887,0.05718248602318533,-0.01820131180834505
-0.36,-12.085017388733608,13.205840294278131,-12.86741686391456,0.08514746201964339,0.06414485005242365,-0.020253560177750395
-0.34,-12.084683031437388,13.18869128848385,-12.873115481425707,0.0960720358841646,0.07250569243859234,-0.02264935530153136
-0.32,-12.084275821152117,13.167659985984889,-12.879956151023103,0.10923313161670359,0.08267495733187344,-0.025452195327857342
-0.3,-12.08386722098741,13.141406291343934,-12.888306530397637,0.12523690276628005,0.09522103961737598,-0.028727487585032446
-0.28,-12.083584652992704,13.107957558956926,-12.898638448549246,0.14486069576172425,0.11094318025576319,-0.03252861581587336
-0.26,-12.08368824688343,13.0643457829356,-12.911563420442604,0.16907129405992868,0.13097833769903017,-0.036865683651241196
-0.24,-12.084716315804572,13.00601701046963,-12.927856240012478,0.19899510302197226,0.15695621926842085,-0.04164084889149373
-0.22,-12.087769764402115,12.925871136877726,-12.948436029896811,0.23576007816934016,0.19121604501521203,-0.046522266618870774
-0.2,-12.095068397988095,12.812716460654443,-12.97422762601393,0.2800365765992805,0.23708766785197666,-0.05071252951516358
-0.18,-12.111025300904696,12.648842092824502,-13.005727695080058,0.3309283763984583,0.2991979689573766,-0.05255580740917083
-0.16,-12.144265048808256,12.406392292643304,-13.041905688533273,0.38357165809035765,0.3836447899531022,-0.04895758134854283
-0.14,-12.211202851080975,12.04250923643708,-13.077738487573027,0.4244488771604443,0.49759048536124756,-0.03477486254887848
-0.12,-12.341613636349402,11.494484308519054,-13.099306332841739,0.4235136822382132,0.6472227549717904,-0.0029327397413343673
-0.1,-12.584526895019188,10.680091240669727,-13.075732487102592,0.3245927878240099,0.8321325639609966,0.05265427488485041
-0.08,-13.004849904262333,9.517574328754579,-12.951169347791934,0.0444780835537324,1.0342821638005912,0.12804363391485837
-0.06,-13.644626994699662,7.992692288869884,-12.653585031449307,-0.4907977549151787,1.2064688800263241,0.19549201274486142
-0.04,-14.426290752939368,6.286554861514398,-12.158590297945649,-1.2425271153856723,1.2861412635870182,0.20778858834344385
-0.02,-15.088208302647113,4.865463117069059,-11.61685526241383,-1.9542128430994752,1.2646221880911201,0.15600429750300557
0.0,-15.343380329430124,4.303474586164416,-11.368359773032845,-2.251762858786194,1.233920897860243,0.11814209265413149
0.02,-15.088208302433076,4.865463117068852,-11.616855262204766,-1.9542128430994694,1.2646221880911208,0.15600429750300399
0.04,-14.426290752412589,6.286554861513879,-12.15859029743109,-1.2425271153856565,1.2861412635870177,0.20778858834343986
0.06,-13.6446269936172,7.992692288868816,-12.653585030391959,-0.490797754915147,1.2064688800263237,0.19549201274485362
0.08,-13.00484990212504,9.517574328752454,-12.951169345704214,0.04447808355379534,1.0342821638005906,0.12804363391484253
0.1,-12.584526890841405,10.680091240665583,-13.07573248302174,0.32459278782413425,0.8321325639609949,0.05265427488481953
0.12,-12.34161362820462,11.494484308510968,-13.099306324885898,0.4235136822384543,0.6472227549717858,-0.0029327397413945818
0.14,-12.211202835213212,12.042509236421328,-13.07773847207337,0.42444887716091395,0.49759048536123923,-0.034774862548995845
0.16,-12.1442650179,12.406392292612658,-13.041905658342051,0.38357165809127325,0.3836447899530857,-0.048957581348771276
0.18,-12.11102524070263,12.648842092764802,-13.005727636274576,0.33092837640024103,0.29919796895734435,-0.05255580740961577
0.2,-12.09506828072998,12.81271646053815,-12.974227511475991,0.2800365766027516,0.23708766785191387,-0.050712529516030225
0.22,-12.087769536014221,12.925871136651212,-12.948435806807126,0.23576007817610217,0.19121604501508982,-0.04652226662055867
0.24,-12.084715870965626,13.00601701002844,-12.927855805493014,0.19899510303514278,0.1569562192681824,-0.041640848894781514
0.26,-12.083687380455665,13.064345782076295,-12.911562574114503,0.1690712940855808,0.13097833769856626,-0.036865683657644956
0.28,-12.083582965422924,13.107957557283223,-12.898636800128259,0.14486069581168762,0.11094318025485939,-0.032528615828346125
0.3,-12.083863934054438,13.14140628808397,-12.888303319716034,0.12523690286359526,0.09522103961561552,-0.02872748760932615
0.32,-12.084269419096541,13.167659979635367,-12.879949897484858,0.10923313180624783,0.08267495732844474,-0.025452195375175016
0.34,-12.084670561995289,13.188691276116668,-12.873103301255565,0.09607203625334552,0.07250569243191406,-0.022649355393693348
0.36,-12.084993101802294,13.205840270190194,-12.867393140407062,0.08514746273870573,0.06414485003941624,-0.020253560357256502
0.38,-12.085170257202519,13.220038499300426,-12.86251236229866,0.07599296916737752,0.05718248599785044,-0.018201312157971855
0.4,-12.085102544429793,13.231948575263159,-12.858172327519268,0.06825084652056751,0.05131836737133917,-0.016436366500999035
