mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green
0.0,-0.012502619663932983,-0.005612175676388628,2.7628228656843017e-16,0.0004537935612448707,-0.013602527742740705,0.00018935806603906691,0.018580369945414864
0.05,-0.012950097331960935,-0.01034063576731673,-1.399088181862427e-19,-0.0003461018174335457,-0.015165508954497666,0.0004987017083019156,0.025397195769840564
0.1,-0.013507333967751015,-0.014837074280272314,-3.2073287893432436e-16,-0.001150105877278163,-0.016832670396063613,0.000806738490510519,0.03204466068690714
0.15,-0.014197362827525593,-0.019181707971714184,-2.083316377655961e-16,-0.001964743453600229,-0.018641052067009292,0.0011111053729512476,0.038680615672865334
0.2,-0.015048991569395303,-0.02335275652639536,8.474499034630468e-16,-0.0028763936768779106,-0.020602618682777775,0.001447471615097903,0.045363182661134906
0.25,-0.016099979884378286,-0.027431336937644372,-2.2326001355126863e-16,-0.003774858044383069,-0.022773906545482243,0.0017820227391114577,0.052196183505051806
0.3,-0.017403299589743137,-0.031607847908407365,3.342043689951981e-16,-0.004681522794538883,-0.02526836835227893,0.002122931904564471,0.05942365017352304
0.35,-0.01903853926000729,-0.03575349690555174,-6.391460297559269e-16,-0.005645099733366015,-0.028129625712515097,0.0024896412076566847,0.06705382959688969
0.4,-0.021124855568922202,-0.039877361944297134,-5.219032728736248e-17,-0.00683776162365295,-0.031498548495036804,0.0029347009672599073,0.07527238740638476
0.45,-0.023850755182924722,-0.04413774000650523,3.378172253601798e-16,-0.008174942338640696,-0.03566700413825552,0.003429905360518917,0.08456964867175268
0.5,-0.027535220683925346,-0.048774871028685385,-8.71799699715929e-17,-0.00984750310994233,-0.04115322252410188,0.004002510470045982,0.09576902010128521
0.55,-0.03276526930335566,-0.05374290893182865,1.1228040334544733e-16,-0.012259978726766846,-0.0488011032246457,0.004613823150125651,0.11016542013244571
0.6,-0.040684866626819395,-0.05880093093151683,-5.776698103743088e-17,-0.016478656504344408,-0.060376146249350095,0.004844251268921442,0.13083380086938046
0.65,-0.053096574783475736,-0.0628540267288171,-4.875023863808289e-16,-0.025256789129610546,-0.07909110559090786,0.0027683087129354673,0.16444174260624037
0.7,-0.06438603813435187,-0.06504041789280417,-3.5736830461625786e-16,-0.03809797931172965,-0.10149338347577308,0.00042899863765056824,0.20421132463967118
0.75,-0.054113534414497434,-0.06977810488855839,7.406885072085645e-16,-0.03268781146410272,-0.09720361002373608,0.00655300255614573,0.19309687745364223
0.8,-0.045355376213026766,-0.06271337870449514,-9.01078662417227e-16,-0.021221312320643906,-0.08034568302038793,0.008305581292276825,0.15596203400944497
0.85,-0.041609900656762074,-0.04986272911299586,-1.2626873007697055e-16,-0.014187427067721126,-0.06826555402960828,0.006881595086264372,0.12544073023103283
0.9,-0.04075599638496018,-0.035375849019246786,-3.7858603445651944e-16,-0.009368666033003115,-0.060667214809959596,0.0050242315116154354,0.10036770399339746
0.95,-0.04181807572475715,-0.01960974025309314,8.789364432126336e-16,-0.005074773657184417,-0.05563919632574379,0.003249285407149437,0.07712052892036793
1.0,-0.04452405104661104,-0.0024306097219436874,4.888396545194018e-17,-0.0008348616272685896,-0.05221053637133244,0.0015941507759837173,0.05389468994255723
1.05,-0.04902930933219894,0.015968122809478055,-6.678685382510707e-17,0.003907958834361733,-0.05018016670315323,-8.739066816114253e-5,0.030430792765959665
1.1,-0.055974420469093254,0.03546449425117692,4.180683577104105e-16,0.00924193696801782,-0.04978566946210895,-0.0018080557803517735,0.006917286072310458
1.15,-0.06703882736527321,0.05599547316603898,2.914335439641036e-16,0.015474356647222933,-0.05186622653052384,-0.00349057070192687,-0.01610083310723931
1.2,-0.08711464040291904,0.07639833207117766,3.3306690738754696e-16,0.023199061574510096,-0.05919334783975543,-0.004300056129639601,-0.03580661830113874
1.25,-0.1336579985078316,0.08821877713184269,-3.885780586188048e-16,0.03164451339575445,-0.08308885200387144,0.0005658918550473929,-0.03563400006686024
1.3,-0.20920360953834527,0.055181141534378864,-2.220446049250313e-16,0.0404490547353488,-0.1351777215689185,-0.006317331837185948,0.034744557960765476
1.35,-0.15313779468436095,0.057400094202024965,0.0,0.036813161212485575,-0.10889982765329392,-0.04194275228771312,0.06921030619113111
1.4,-0.08442853818464813,0.05030651853270199,-3.2959746043559335e-17,-0.006569271923660452,-0.06216959205805339,-0.009268234966342933,0.01921870250726876
1.45,-0.057080748654801824,0.04545044801433153,2.0816681711721685e-17,0.008078206184799343,-0.03169584020560773,0.00945007783188854,-0.03218571031681394
1.5,-0.009641428471752792,0.004848877052433703,0.0,0.0029849420986698496,-0.005701200613852102,0.009147480102815117,-0.009489180164495889
