mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green,Green_sea
0.0,9.622166906979086,0.0979314389719755,0.11136847480571464,-0.027499919319182723,0.03326907409780447,-0.026851161331828452,-9.30099559835781,0.0
0.05,6.74323652419402,0.11471350657804133,0.13261225463184456,-0.03195892593719513,0.03646456126399813,-0.032196418575479405,-6.51181735837428,0.0
0.1,4.890803137055602,0.13393747980610213,0.15744136011573617,-0.036633889250737246,0.040770542048694035,-0.03858180130631097,-4.73838319545591,0.0
0.15,3.6169194239231746,0.15613113801428705,0.18689578915443983,-0.04142676350449028,0.04652567834709277,-0.04626364137355226,-3.536724652626726,0.0
0.2,2.692192513296682,0.18167381097397245,0.22192283046931385,-0.04610797278191156,0.05407521301322062,-0.05540842631807608,-2.6813794935975674,0.0
0.25,1.9893906611901655,0.2106520282152936,0.2630663482152944,-0.05033311292216344,0.06362669228836249,-0.0659852944442754,-2.0479249969158015,0.0
0.3,1.4347589892393198,0.24267862241970606,0.31000512157381116,-0.053722636398667464,0.07506166117751871,-0.07766777658493228,-1.5639853757326485,0.0
0.35,0.9852626714698923,0.2767336003444421,0.3611679472807275,-0.05595623849130083,0.08781722723516164,-0.08979785472093244,-1.1861947524605405,0.0
0.4,0.6162807476843493,0.3111011914428934,0.4139230776199775,-0.056695022145752255,0.10099940745930154,-0.10139269507456741,-0.8882787145588604,0.0
0.45,0.31335048886484246,0.34339695453977936,0.4657062871534465,-0.055103413350562715,0.11375971015057741,-0.11104315555311518,-0.654402754971289,0.0
0.5,0.06661047652994027,0.3704095725033991,0.5153769886400401,-0.0490240136520682,0.12563338766967302,-0.11651858802448174,-0.47578213089165183,0.0
0.55,-0.12944383767366452,0.3869593360190371,0.562557237505288,-0.03418977697769449,0.13627016480617454,-0.11390398875545321,-0.35048602157302317,0.0
0.6,-0.2635412564300791,0.38188612397833044,0.6015953388534601,-0.0032971878830993914,0.1440692697380031,-0.09568134245113177,-0.2909501144253553,0.0
0.65,-0.2665941682885432,0.32512022985360783,0.6062462441881442,0.05813097325765506,0.14290565948606324,-0.04526232930468282,-0.3475517029755648,0.0
0.7,-0.14360149072437617,0.17940823414235205,0.6076531135010205,0.15664883470534205,0.13023382484654766,0.0561993641793309,-0.5316178203785995,0.0
0.75,-0.17627647801699564,0.0562236808593925,0.6815095604532946,0.28064617071897674,0.11272209492614554,0.1870606277136763,-0.6610686686247051,0.0
0.8,-0.3953876631533178,0.013643398980434051,0.818733725137932,0.3924618390082189,0.0937987530554117,0.31144976168442656,-0.6707599880937796,0.0
0.85,0.2591625697280785,-0.04240301886530588,0.37938081339961977,0.19995371323351624,0.07637877915132356,0.15801009625282747,-0.6698224391203481,0.0
0.9,1.9289126605316689,-0.14382692477539055,-0.742539357597591,-0.3131986690326343,0.06562421081338432,-0.2912231794438462,-0.706641075921885,0.0
0.95,2.2545495395574724,-0.2657295093497735,-0.9559998120727061,-0.34751963484521164,0.028545425037020254,-0.2433133883770666,-0.7954535151348611,0.0
1.0,2.297567738810722,-0.38873962032993326,-0.9511296224505412,-0.25754273593169913,-0.027085143469370188,-0.08103610293425,-0.9331554808463783,0.0
1.05,2.3356922713721695,-0.49794268158498023,-0.9117587447555868,-0.14931241947360405,-0.07101756105166045,0.06434005463546964,-1.1117830434892397,0.0
1.1,2.405823389080073,-0.5834063153260254,-0.8611193159868539,-0.04622452280348599,-0.08373031848827522,0.15946278312204473,-1.3277747585370108,0.0
1.15,2.5392165777852256,-0.6441172389903415,-0.8114288662271715,0.042226492152778225,-0.06410751564332472,0.2014601708697661,-1.5940673162188546,0.0
1.2,2.778827740525827,-0.6920335852008481,-0.7826946055240532,0.11758400346962561,-0.022629284949472125,0.20459459989701534,-1.945537385608759,0.0
1.25,2.9754089469196856,-0.7597219864011396,-0.7782031927010823,0.18293175735664663,0.03258333704975409,0.19465814432430567,-2.4879620623129597,0.0
1.3,3.871521217995479,-0.7772481654781964,-0.6193382371937501,0.17746837318347683,0.10413883593488894,0.16609365745170507,-1.580696867994611,0.0
1.35,1.7925329712864482,-0.5987874523425517,-0.41525522188890573,0.1299955217857719,0.11580207307449289,0.1135305725865964,-0.8764999709026036,0.0
1.4,0.8840902221966047,-0.3165945872283369,-0.2861630095756861,0.0983236513037539,0.06948200360232838,0.04945522466605567,-0.4867981847449201,0.0
1.45,-1.1101833176589366,-0.11188641004682125,-0.17595072106851442,0.06467446049188161,0.029512582262170243,0.01675873430215383,-0.4441188760991146,0.0
1.5,0.8837871155177242,-0.016521123100178624,-0.051421249882032394,0.019120823636939843,0.005470765068438717,-0.009840346674287494,-1.1669660890832532,0.0
