mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green,Green_sea
0,2.351886301,0.033793701,0.031854392,0.004428103,0.038706732,-0.013857401,-2.34994049,0
0.05,1.650769702,0.03865874,0.037571986,0.005746867,0.042467132,-0.016020683,-1.66123397,0
0.1,1.186555748,0.043929224,0.044039271,0.007529894,0.04669731,-0.018148582,-1.227317773,0
0.15,0.855874106,0.049651677,0.051435326,0.00992954,0.051423478,-0.020158172,-0.935954782,0
0.2,0.627508804,0.055824545,0.059893009,0.013098226,0.056614015,-0.021915961,-0.731117119,0
0.25,0.454108984,0.062388748,0.069445635,0.017142979,0.062165266,-0.023267275,-0.581927821,0
0.3,0.307445733,0.069214629,0.079952486,0.022058294,0.067896431,-0.024088656,-0.470246734,0
0.35,0.189343166,0.07608343,0.091035303,0.027669897,0.073557737,-0.024334948,-0.384925594,0
0.4,0.092040108,0.082661489,0.102093676,0.033660953,0.078848478,-0.024007368,-0.318896965,0
0.45,0.013189356,0.088457868,0.112443776,0.039736044,0.083421307,-0.022968294,-0.267607023,0
0.5,-0.053534305,0.092740326,0.121466349,0.045831198,0.086833665,-0.020647301,-0.22816056,0
0.55,-0.104460416,0.094338859,0.128388656,0.052050377,0.088400853,-0.015844289,-0.199008327,0
0.6,-0.136774243,0.091169299,0.131079973,0.05785532,0.086902973,-0.006787889,-0.181002344,0
0.65,-0.122824163,0.07879745,0.120452181,0.060351901,0.080602625,0.007256864,-0.179338177,0
0.7,-0.058307359,0.026301816,0.097796148,0.068030068,0.043008399,0.052184271,-0.191282552,0
0.75,-0.041197846,-0.014882208,0.087507098,0.083720143,0.014584816,0.098187548,-0.195983411,0
0.8,-0.103467039,-0.016042561,0.104334062,0.105708035,0.016244149,0.122299659,-0.190562829,0
0.85,0.026509833,-0.018787195,0.061705316,0.063361878,0.017508823,0.0802844,-0.186264921,0
0.9,0.541878171,-0.028123181,-0.112344125,-0.108113932,0.025159641,-0.089494252,-0.186244858,0
0.95,0.606974128,-0.042584727,-0.136846659,-0.126196263,0.029984359,-0.100138984,-0.19277499,0
1,0.632060769,-0.061992404,-0.14649184,-0.125045456,0.029093215,-0.087002277,-0.207003437,0
1.05,0.660269616,-0.086121947,-0.155339591,-0.118436976,0.022846542,-0.064842742,-0.230107665,0
1.1,0.696851514,-0.114861651,-0.164454318,-0.107009658,0.012190268,-0.035787759,-0.26441068,0
1.15,0.750091205,-0.148630375,-0.174976521,-0.090608001,-0.001138391,-0.001803443,-0.315101983,0
1.2,0.842318203,-0.189672798,-0.191362724,-0.06891714,-0.014529788,0.034523441,-0.388978219,0
1.25,0.775165425,-0.260335519,-0.224496937,-0.039726644,-0.023488062,0.082169579,-0.501139251,0
1.26,0.737931651,-0.284533814,-0.226554358,-0.032498307,-0.02886393,0.101107726,-0.554352837,0
1.27,0.776926882,-0.30823758,-0.221658609,-0.025551936,-0.036669536,0.117502111,-0.549153983,0
1.28,1.087360873,-0.326890879,-0.21111496,-0.0198625,-0.042006839,0.127366131,-0.510083245,0
1.29,1.823080301,-0.338528237,-0.199192592,-0.014806534,-0.043920306,0.133268161,-0.435150299,
1.3,2.249431687,-0.345143586,-0.18927719,-0.009223939,-0.044001868,0.137963894,-0.336329078,
1.31,1.727352204,-0.349296979,-0.180543065,-0.003709622,-0.042539577,0.141968601,-0.237188841,
1.32,0.660300185,-0.350695085,-0.169168988,-0.000439353,-0.039710923,0.145366984,-0.162235596,
1.33,0.169573615,-0.345254309,-0.154367918,0.000146353,-0.038776797,0.148466262,-0.124664759,
1.34,0.251590956,-0.330246168,-0.139473777,-0.000138044,-0.042699644,0.144066249,-0.121162853,
1.35,0.483753053,-0.305813324,-0.127992809,0.000234516,-0.042452991,0.125460286,-0.148816654,
1.4,0.338039494,-0.156476771,-0.096282982,0.010421352,0.005579798,0.056484351,-0.0586291,
1.41,0.290995293,-0.131764589,-0.089896211,0.011831748,0.011747932,0.050723448,-0.013064567,
1.42,0.27494713,-0.109123524,-0.083776025,0.012900826,0.017490031,0.045895919,0.018296134,
1.43,0.182299968,-0.088028134,-0.078311101,0.013819249,0.023460253,0.041375866,0.021124922,
1.44,-0.351840462,-0.067204679,-0.072925423,0.014296781,0.029233886,0.035773847,-0.013124521,
1.45,-1.110620515,-0.046743939,-0.06501862,0.013045571,0.033056295,0.027410293,-0.080866326,
1.46,-1.204941811,-0.029141992,-0.053864176,0.009989347,0.034354754,0.016252286,-0.164518454,
1.47,-0.348772538,-0.016433033,-0.041952136,0.006782297,0.033672692,0.003089742,-0.238758198,
1.48,0.466771296,-0.007385076,-0.032172129,0.005097579,0.029385336,-0.011267341,-0.282259331,
1.49,0.604871212,-0.000790604,-0.023190052,0.003965408,0.018124607,-0.022044236,-0.287000931,
1.5,0.437442317,0.002209276,-0.014885221,0.002679733,0.005595919,-0.020873819,-0.271766673,
