mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green,Green_sea
1.26,0.0,0.0,0.0,0.0,0.0,0.0,-0.5543528370867343,0.0
1.27,0.0,0.0,0.0,0.0,0.0,0.0,-0.5491539826219098,0.0
1.28,0.0,0.0,0.0,0.0,0.0,0.0,-0.5100832445257479,0.0
1.29,0.0,0.0,0.0,0.0,0.0,0.0,-0.43515029926139964,0.0
1.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.3363290781400756,0.0
1.31,0.0,0.0,0.0,0.0,0.0,0.0,-0.23718884090556142,0.0
1.32,0.0,0.0,0.0,0.0,0.0,0.0,-0.16223559604949914,0.0
1.33,0.0,0.0,0.0,0.0,0.0,0.0,-0.1246647589191401,0.0
1.34,0.0,0.0,0.0,0.0,0.0,0.0,-0.12116285333607181,0.0
1.41,0.0,0.0,0.0,0.0,0.0,0.0,-0.013064567132140593,0.0
1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.018296133632580727,0.0
1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.021124921944475888,0.0
1.44,0.0,0.0,0.0,0.0,0.0,0.0,-0.013124521168572222,0.0
1.45,0.0,0.0,0.0,0.0,0.0,0.0,-0.08086632605752125,0.0
1.46,0.0,0.0,0.0,0.0,0.0,0.0,-0.16451845379362381,0.0
1.47,0.0,0.0,0.0,0.0,0.0,0.0,-0.23875819779537455,0.0
1.48,0.0,0.0,0.0,0.0,0.0,0.0,-0.2822593307498823,0.0
1.49,0.0,0.0,0.0,0.0,0.0,0.0,-0.28700093068219146,0.0
