mu,Drude,BCD,sQMD,dQMD,Inter,dInter,Green,Green_M
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006858417932240231
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006076923983511333
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005401687709054939
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004816215803573451
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004306821706573907
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038621182674860224
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034726056162418142
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031303360139847635
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028286409314869157
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025619084652287972
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023254015831242415
0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002115109381684438
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019276252052438272
0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017600465402425503
0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016098926561805217
0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014750366853058022
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013536494746307793
0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012441531030684485
0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011451822528881312
0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010555520573416945
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000974231271024662
0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009003198168886973
0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008330299370181295
0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007716703330375055
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007156327983052807
0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006643808830807562
0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006174403028969536
0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005743907560022466
0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005348589531800484
0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004985126506283497
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004650555300371749
