mu,ZXY1,ZXY_im,Gr
-0.2,-0.0005675263535591707,-0.0005675263535591707,-1.470986568071971
-0.18,-0.000768866358893766,-0.000768866358893766,-1.4709883054143482
-0.16,-0.0011478101435089246,-0.0011478101435089246,-1.4709915827506543
-0.14,-0.0017426494479836187,-0.0017426494479836187,-1.470985848940496
-0.12,-0.003030440024170969,-0.003030440024170969,-1.4710090271411038
-0.1,-0.0061028544134963045,-0.0061028544134963045,-1.4710186627239499
-0.08,-0.016354215361494156,-0.016354215361494156,-1.4710162068303567
-0.06,-0.05930851844613671,-0.05930851844613671,-1.4713977000511322
-0.04,-0.2415924593449934,-0.2415924593449934,-1.4736116203181546
-0.02,-0.5329715943822504,-0.5329715943822504,-1.478714389563429
0.0,2.9263804271936986e-17,2.9263804271936986e-17,-1.446407080502306
0.02,0.5329715943822506,0.5329715943822506,-1.4787147102657079
0.04,0.24159245934499346,0.24159245934499346,-1.473614165786047
0.06,0.05930851844613665,0.05930851844613665,-1.471397908551495
0.08,0.01635421536149418,0.01635421536149418,-1.4710227793194433
0.1,0.006102854413496251,0.006102854413496251,-1.4710089866338372
0.12,0.0030304400241709627,0.0030304400241709627,-1.4710157692455257
0.14,0.0017426494479836096,0.0017426494479836096,-1.4709843007315748
0.16,0.0011478101435089252,0.0011478101435089252,-1.4709950449743041
0.18,0.0007688663588937414,0.0007688663588937414,-1.4709859812390302
0.2,0.0005675263535591574,0.0005675263535591574,-1.4709890119532045
