mu,ZXY1,ZXY_im,Gr
-0.2,-0.014939382656654773,6.966813174208649e-5,-0.735434230280259
-0.18,-0.01595820365353479,-0.0001866694645805805,-0.7354396961680476
-0.16,-0.014848956911798715,-8.863102120663046e-5,-0.7354442874080629
-0.14,-0.016637469288182997,-0.00030839648153078726,-0.7354479989870265
-0.12,-0.015269986651518682,-0.0006266536048203835,-0.7354513565760356
-0.1,-0.017863943856990687,-0.0007833042339146587,-0.7354541951191377
-0.08,-0.016747047358934734,-0.0025943426246165997,-0.7354560673960256
-0.06,-0.0196914151667767,-0.0028757584163702395,-0.7354625008593703
-0.04,-0.015990539630156893,-0.0062203564373405715,-0.7354921394360984
-0.02,-0.002103052310241482,0.011174733597322743,-0.7355599255364389
0.0,0.0009810116790660774,0.01002431099482435,-0.735134782040129
0.02,-0.0021030523102414816,0.011174733597322743,-0.7355599194842561
0.04,-0.015990539630156893,-0.006220356437340575,-0.7354921608980307
0.06,-0.0196914151667767,-0.002875758416370238,-0.7354624749353574
0.08,-0.016747047358934737,-0.0025943426246165984,-0.7354561460369331
0.1,-0.01786394385699069,-0.0007833042339146542,-0.7354539292152442
0.12,-0.01526998665151868,-0.0006266536048203827,-0.7354514420389624
0.14,-0.016637469288182997,-0.0003083964815307875,-0.7354479560939232
0.16,-0.01484895691179871,-8.863102120663122e-5,-0.7354443298501481
0.18,-0.015958203653534786,-0.00018666946458057964,-0.7354396598016225
0.2,-0.014939382656654777,6.966813174208627e-5,-0.7354342660812528
