η,Drude,BCD,gBC,ChS,Green,Green_sea
0.01,-706.1997734562754,-4.217175735812054e-16,0.27659010748887003,-0.03164851651128994,-239.9543243189882,-74.25991584410234
0.02,0.28982856376023847,-1.152446455490065e-16,-0.07181940636028583,-0.03155132234100751,-0.9338925847179667,48.29648757492502
0.03,13.362418765573238,-2.615171013524082e-17,-0.055685786830386566,-0.03138643594978466,-0.191436126223266,2.0119496991570713
0.04,13.425921724430367,-1.73603675298111e-17,-0.04738099775876344,-0.031217952704984422,-0.3271089173568953,-47.68284199263833
0.05,13.595881247734923,-2.284403714249312e-17,-0.039612440689298783,-0.031026488412716036,-0.48790841111099326,-5.253692966744911
0.06,13.84620368242318,-2.8138439526173153e-17,-0.03164136248667032,-0.030815544234693504,-0.6620132172440663,10.78044910791565
0.07,14.209404381789284,-3.137428153981371e-17,-0.023861121042592717,-0.03058840783821118,-0.5349145485769213,-1.7843353252304976
0.08,14.718791781301519,-3.299417330751888e-17,-0.01666208133387424,-0.03034771499582731,-0.42236097640852677,0.1132334364332592
0.09,15.389276457090546,-3.3603331064028166e-17,-0.010257722047679312,-0.03009535406387065,-0.7225492754097331,0.074391902159886
0.1,16.216582627723653,-3.363259775096436e-17,-0.004713851484952735,-0.029832524436643006,-0.6287050643488215,-0.11278299270063946
